material_id,formula,supercell,n_sites
mp-561394,Sr24 Te24 O72,"1, 1, 1",120
mp-561499,Dy6 Cu2 Sn2 S14,"1, 1, 2",24
mp-567710,K4 Pr12 Te32,"1, 1, 2",48
mp-568543,Na8 Sn4 Se12,"2, 1, 3",24
mp-568612,Sn4 Hg24 P16 Cl24,"1, 1, 1",68
mp-569346,Cu2 I2,"4, 4, 2",4
mp-570044,Nb8 I32,"2, 1, 1",40
mp-570130,Al6 H18,"2, 1, 2",24
mp-570301,Ag2 Br2,"4, 3, 3",4
mp-570448,Cd13 I26,"1, 1, 1",39
mp-570536,Rb8 Ag4 Au12 I32,"1, 2, 1",56
mp-570589,Se8 Br8,"1, 3, 3",16
mp-571162,Ca12 Ga8 N16,"1, 2, 2",36
mp-571164,Rb6 Ag2 Sn6 Se16,"2, 2, 1",30
mp-571240,K4 La20 C8 Cl40,"2, 1, 1",72
mp-571390,Cs8 Li4 Cl12,"3, 1, 2",24
mp-571667,Cd13 I26,"1, 1, 1",39
mp-573324,Cs1 K2 Ho1 P2 O8,"2, 2, 2",14
mp-582080,Cs24 La8 Cl48,"1, 1, 1",80
mp-582753,Tl88 Te44,"1, 1, 1",132
mp-583454,Nb8 Bi8 Pb4 O36,"1, 2, 1",56
mp-600033,Si12 O24,"1, 1, 1",36
mp-600039,Si24 O48,"1, 1, 2",72
mp-618177,K8 Zn4 Cl16,"2, 1, 2",28
mp-624190,Ge4 Pb4 S12,"2, 1, 2",20
mp-626143,Mg2 H4 O4,"2, 3, 2",10
mp-626412,In12 H36 O36,"1, 1, 1",84
mp-626724,La2 H2 O4,"3, 3, 2",8
mp-642996,Li24 H36 Os6,"1, 1, 1",66
mp-643727,H4 Pb4 Br4 O4,"2, 3, 1",16
mp-644285,K4 Al4 H8 C4 O20,"1, 1, 2",40
mp-647075,Zn64 S64,"1, 1, 1",128
mp-650026,Pr4 In8 Cl20,"1, 2, 2",32
mp-654956,Ca4 Al4 H20,"2, 2, 1",28
mp-662535,Pb4 Se8 O20,"3, 1, 1",32
mp-667369,Ca16 Zr40 Ti16 O128,"1, 1, 1",200
mp-673682,Tb8 Yb4 S16,"1, 1, 2",28
mp-674508,Rb4 Pb4 F12,"1, 2, 2",20
mp-676154,Yb4 Dy8 S16,"1, 1, 2",28
mp-680246,Cs16 Zr12 S56,"1, 1, 1",84
mp-680674,Cs12 Bi8 Br36,"1, 2, 1",56
mp-684015,Bi36 Au4 Br36,"1, 1, 1",76
mp-684679,Sb12 O26,"2, 1, 1",38
